#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -2.500000   0.24120703E-04   0.13247837E-03   0.24098259E-04   0.36847148E-06   0.00000000E+00   0.43410061E-06   0.24051750E-04   0.11821907E-06
       -2.483333   0.24659961E-04   0.13329397E-03   0.24636798E-04   0.38063432E-06   0.00000000E+00   0.71259597E-06   0.24588529E-04   0.12306400E-06
       -2.466667   0.25221212E-04   0.13414704E-03   0.25197326E-04   0.39341507E-06   0.00000000E+00   0.74454293E-06   0.25147184E-04   0.12823557E-06
       -2.450000   0.25805739E-04   0.13503987E-03   0.25781126E-04   0.40685556E-06   0.00000000E+00   0.77873991E-06   0.25728989E-04   0.13345143E-06
       -2.433333   0.26415022E-04   0.13597522E-03   0.26389685E-04   0.42100348E-06   0.00000000E+00   0.81540477E-06   0.26335418E-04   0.13922352E-06
       -2.416667   0.27050696E-04   0.13695614E-03   0.27024643E-04   0.43591162E-06   0.00000000E+00   0.85478723E-06   0.26968099E-04   0.14526103E-06
       -2.400000   0.27714555E-04   0.13798606E-03   0.27687802E-04   0.45163819E-06   0.00000000E+00   0.89717190E-06   0.27628818E-04   0.15163996E-06
       -2.383333   0.28408574E-04   0.13906873E-03   0.28381142E-04   0.46824750E-06   0.00000000E+00   0.94288358E-06   0.28319539E-04   0.15840152E-06
       -2.366667   0.29134923E-04   0.14020833E-03   0.29106846E-04   0.48581076E-06   0.00000000E+00   0.99229412E-06   0.29042424E-04   0.16563686E-06
       -2.350000   0.29895997E-04   0.14140948E-03   0.29867323E-04   0.50440695E-06   0.00000000E+00   0.10458309E-05   0.29799859E-04   0.17326782E-06
       -2.333333   0.30694448E-04   0.14267737E-03   0.30665238E-04   0.52412398E-06   0.00000000E+00   0.11039874E-05   0.30594484E-04   0.18151446E-06
       -2.316667   0.31533217E-04   0.14401775E-03   0.31503554E-04   0.54505999E-06   0.00000000E+00   0.11673359E-05   0.31429231E-04   0.19036540E-06
       -2.300000   0.32415581E-04   0.14543711E-03   0.32385570E-04   0.56732486E-06   0.00000000E+00   0.12365440E-05   0.32307364E-04   0.19970761E-06
       -2.283333   0.33345201E-04   0.14694272E-03   0.33314977E-04   0.59104206E-06   0.00000000E+00   0.13123944E-05   0.33232531E-04   0.20984916E-06
       -2.266667   0.34326181E-04   0.14854281E-03   0.34295916E-04   0.61635087E-06   0.00000000E+00   0.13958104E-05   0.34208826E-04   0.22057627E-06
       -2.250000   0.35363143E-04   0.15024672E-03   0.35333056E-04   0.64340902E-06   0.00000000E+00   0.14878888E-05   0.35240859E-04   0.23227206E-06
       -2.233333   0.36461316E-04   0.15206509E-03   0.36431680E-04   0.67239588E-06   0.00000000E+00   0.15899415E-05   0.36333844E-04   0.24485106E-06
       -2.216667   0.37626639E-04   0.15401010E-03   0.37597798E-04   0.70351642E-06   0.00000000E+00   0.17035499E-05   0.37493710E-04   0.25838651E-06
       -2.200000   0.38865893E-04   0.15609576E-03   0.38838282E-04   0.73700602E-06   0.00000000E+00   0.18306369E-05   0.38727227E-04   0.27313084E-06
       -2.183333   0.40186863E-04   0.15833831E-03   0.40161030E-04   0.77313642E-06   0.00000000E+00   0.19735630E-05   0.40042170E-04   0.28904593E-06
       -2.166667   0.41598542E-04   0.16075663E-03   0.41575176E-04   0.81222326E-06   0.00000000E+00   0.21352556E-05   0.41447526E-04   0.30646099E-06
       -2.150000   0.43111379E-04   0.16337287E-03   0.43091356E-04   0.85463550E-06   0.00000000E+00   0.23193885E-05   0.42953741E-04   0.32543624E-06
       -2.133333   0.44737606E-04   0.16621317E-03   0.44722040E-04   0.90080750E-06   0.00000000E+00   0.25306318E-05   0.44573051E-04   0.34625283E-06
       -2.116667   0.46491651E-04   0.16930864E-03   0.46481966E-04   0.95125462E-06   0.00000000E+00   0.27750111E-05   0.46319898E-04   0.36918316E-06
       -2.100000   0.48390678E-04   0.17269664E-03   0.48388708E-04   0.10065936E-05   0.00000000E+00   0.30604318E-05   0.48211473E-04   0.39450434E-06
       -2.083333   0.50455300E-04   0.17642242E-03   0.50463428E-04   0.10675695E-05   0.00000000E+00   0.33974691E-05   0.50268440E-04   0.42254403E-06
       -2.066667   0.52710534E-04   0.18054146E-03   0.52731880E-04   0.11350923E-05   0.00000000E+00   0.38005906E-05   0.52515893E-04   0.45383473E-06
